country,state,county,lat,lng,type,beds,population,year
US,AZ,yuma,34.048928,-111.093731,ACUTE,1.806335,204281,2018
US,AZ,yuma,34.048928,-111.093731,OTHER,0.200704,204281,2018
US,CA,alameda,36.778261,-119.417932,ACUTE,2.204202,1629615,2017
US,CA,alameda,36.778261,-119.417932,OTHER,0.162001,1629615,2018
US,CA,alameda,36.778261,-119.417932,PSYCHIATRIC,0.116592,1629615,2018
US,CA,amador,36.778261,-119.417932,ACUTE,1.393878,37306,2018
US,CA,butte,36.778261,-119.417932,ACUTE,2.380033,225207,2018
US,CA,butte,36.778261,-119.417932,OTHER,0.177614,225207,2018
US,CA,butte,36.778261,-119.417932,PSYCHIATRIC,0.071046,225207,2018
US,CA,calaveras,36.778261,-119.417932,ACUTE,1.065317,45057,2018
US,CA,colusa,36.778261,-119.417932,ACUTE,2.234741,21479,2018
US,CA,contra costa,36.778261,-119.417932,ACUTE,1.708675,1123678,2017
US,CA,contra costa,36.778261,-119.417932,PSYCHIATRIC,0.064965,1123678,2018
US,CA,del norte,36.778261,-119.417932,ACUTE,1.785584,27442,2018
US,CA,el dorado,36.778261,-119.417932,ACUTE,1.210713,185015,2018
US,CA,el dorado,36.778261,-119.417932,PSYCHIATRIC,0.086479,185015,2018
US,CA,fresno,36.778261,-119.417932,ACUTE,2.094449,971616,2018
US,CA,fresno,36.778261,-119.417932,PSYCHIATRIC,1.560287,971616,2018
US,CA,glenn,36.778261,-119.417932,ACUTE,1.682477,27935,2018
US,CA,humboldt,36.778261,-119.417932,ACUTE,2.088715,135490,2018
US,CA,humboldt,36.778261,-119.417932,PSYCHIATRIC,0.11809,135490,2018
US,CA,imperial,36.778261,-119.417932,ACUTE,1.489245,179957,2018
US,CA,inyo,36.778261,-119.417932,ACUTE,3.40753,18195,2018
US,CA,kern,36.778261,-119.417932,ACUTE,1.852644,878744,2018
US,CA,kern,36.778261,-119.417932,OTHER,0.112661,878744,2018
US,CA,kern,36.778261,-119.417932,PSYCHIATRIC,0.120627,878744,2018
US,CA,kings,36.778261,-119.417932,ACUTE,1.484855,150183,2015
US,CA,lake,36.778261,-119.417932,ACUTE,0.967314,64095,2018
US,CA,lassen,36.778261,-119.417932,ACUTE,1.207499,31470,2018
US,CA,los angeles,36.778261,-119.417932,ACUTE,2.533812,10105722,2017
US,CA,los angeles,36.778261,-119.417932,OTHER,0.216016,10105722,2017
US,CA,los angeles,36.778261,-119.417932,PSYCHIATRIC,0.255499,10105722,2017
US,CA,madera,36.778261,-119.417932,ACUTE,0.686351,154440,2018
US,CA,madera,36.778261,-119.417932,OTHER,2.305102,154440,2018
US,CA,marin,36.778261,-119.417932,ACUTE,1.756041,260814,2018
US,CA,mariposa,36.778261,-119.417932,ACUTE,1.925473,17658,2018
US,CA,mendocino,36.778261,-119.417932,ACUTE,1.611484,87497,2018
US,CA,merced,36.778261,-119.417932,ACUTE,0.860167,267390,2018
US,CA,merced,36.778261,-119.417932,PSYCHIATRIC,0.059838,267390,2018
US,CA,modoc,36.778261,-119.417932,ACUTE,12.531884,9017,2018
US,CA,mono,36.778261,-119.417932,ACUTE,1.209276,14058,2018
US,CA,monterey,36.778261,-119.417932,ACUTE,1.830698,433168,2018
US,CA,napa,36.778261,-119.417932,ACUTE,2.567285,141005,2018
US,CA,napa,36.778261,-119.417932,PSYCHIATRIC,10.056381,141005,2018
US,CA,nevada,36.778261,-119.417932,ACUTE,1.780692,98838,2018
US,CA,orange,36.778261,-119.417932,ACUTE,2.520743,3155816,2017
US,CA,orange,36.778261,-119.417932,OTHER,0.114075,3155816,2018
US,CA,orange,36.778261,-119.417932,PSYCHIATRIC,0.040877,3155816,2018
US,CA,placer,36.778261,-119.417932,ACUTE,1.952078,374985,2018
US,CA,placer,36.778261,-119.417932,PSYCHIATRIC,0.042668,374985,2018
US,CA,plumas,36.778261,-119.417932,ACUTE,4.646443,18724,2018
US,CA,riverside,36.778261,-119.417932,ACUTE,1.597026,2355002,2018
US,CA,riverside,36.778261,-119.417932,OTHER,0.042463,2355002,2018
US,CA,riverside,36.778261,-119.417932,PSYCHIATRIC,0.035669,2355002,2018
US,CA,sacramento,36.778261,-119.417932,ACUTE,2.446837,1495400,2017
US,CA,sacramento,36.778261,-119.417932,OTHER,0.066872,1495400,2018
US,CA,sacramento,36.778261,-119.417932,PSYCHIATRIC,0.267487,1495400,2018
US,CA,san benito,36.778261,-119.417932,ACUTE,3.084999,58671,2018
